title,duration,genre,rating,description,stars,votes
New Girl,22,"Comedy, Romance",7.7,"After a bad break-up, Jess, an offbeat young woman, moves into an apartment loft with three single men. Although they find her behavior very unusual, the men support her - most of the time.","Zooey Deschanel, Jake Johnson, Max Greenfield, Hannah Simone","221,781"
The Expanse,60,"Drama, Mystery, Sci-Fi",8.5,"In the 24th century, a group of humans untangle a vast plot which threatens the Solar Systems fragile state of detente.","Steven Strait, Dominique Tipper, Wes Chatham, Shohreh Aghdashloo","151,611"
Purple Hearts,122,"Drama, Music, Romance",6.7,"In spite of their many differences, Cassie, a struggling singer-songwriter, and Luke, a troubled Marine, agree to marry solely for military benefits. But when tragedy strikes, the line between real and pretend begins to blur.","Elizabeth Allen Rosenbaum, | ,     Stars:, Sofia Carson, Nicholas Galitzine, Chosen Jacobs, John Harlan Kim","32,797"
The Gentlemen,113,"Action, Comedy, Crime",7.8,"An American expat tries to sell off his highly profitable marijuana empire in London, triggering plots, schemes, bribery and blackmail in an attempt to steal his domain out from under him.","Guy Ritchie, | ,     Stars:, Matthew McConaughey, Charlie Hunnam, Michelle Dockery, Jeremy Strong","331,508"
The Good Doctor,41,Drama,8.1,"Shaun Murphy, a young surgeon with autism and Savant syndrome, is recruited into the surgical unit of a prestigious hospital.","Freddie Highmore, Hill Harper, Richard Schiff, Christina Chang","92,641"
Downton Abbey,58,"Drama, Romance",8.7,A chronicle of the lives of the British aristocratic Crawley family and their servants in the early twentieth century.,"Hugh Bonneville, Phyllis Logan, Elizabeth McGovern, Brendan Coyle","204,875"
Extraordinary Attorney Woo,75,Drama,8.9,"About an autistic 27-year-old lawyer. Due to her high IQ of 164, impressive memory, and creative thought process, the brilliant Woo Young Woo graduated at the top of her class from a prestigious law school.","Park Eun-bin, Kang Tae-oh, Kang Ki-young, Jeon Bae-soo","9,538"
Smallville,60,"Action, Adventure, Drama",7.5,"A young Clark Kent struggles to find his place in the world as he learns to harness his alien powers for good and deals with the typical troubles of teenage life in Smallville, Kansas.","Tom Welling, Michael Rosenbaum, Allison Mack, Kristin Kreuk","127,295"
Star Trek: The Next Generation,44,"Action, Adventure, Sci-Fi",8.7,"Set almost 100 years after Captain Kirks 5-year mission, a new generation of Starfleet officers set off in the U.S.S. Enterprise-D on its own mission to go where no one has gone before.","Patrick Stewart, Brent Spiner, Jonathan Frakes, LeVar Burton","119,655"
BoJack Horseman,25,"Animation, Comedy, Drama",8.8,"BoJack Horseman was the star of the hit television show Horsin Around in the 80s and 90s, but now hes washed up, living in Hollywood, complaining about everything, and wearing colorful sweaters.","Will Arnett, Amy Sedaris, Alison Brie, Aaron Paul","152,649"
